date,premise_code,item_code,price
1-Jun-22,351,69,10.99
1-Jun-22,351,1111,11.7
1-Jun-22,351,1556,5.29
1-Jun-22,351,1558,7.99
1-Jun-22,368,1111,11.7
1-Jun-22,368,1556,7.9
1-Jun-22,368,1558,9.9
1-Jun-22,382,55,14
1-Jun-22,382,69,14
1-Jun-22,382,1558,5.5
1-Jun-22,394,1,8.9
1-Jun-22,394,69,14.99
1-Jun-22,394,1111,11.7
1-Jun-22,394,1556,8.99
1-Jun-22,394,1558,7.99
1-Jun-22,398,1558,7.99
1-Jun-22,438,1,8.9
1-Jun-22,438,1556,6.9
1-Jun-22,438,1558,4.99
1-Jun-22,439,1,8.9
1-Jun-22,439,1558,7.9
1-Jun-22,480,2,9.5
1-Jun-22,480,1558,6.5
1-Jun-22,524,1,8.9
1-Jun-22,524,1558,10
1-Jun-22,527,1,8.9
1-Jun-22,527,1558,7
1-Jun-22,529,1,8.9
1-Jun-22,529,1558,6
1-Jun-22,569,1,8.9
1-Jun-22,569,1111,11.7
1-Jun-22,569,1558,6.9
1-Jun-22,600,1,8.9
1-Jun-22,600,1558,7
1-Jun-22,660,1,8.9
1-Jun-22,660,1111,11.7
1-Jun-22,660,1558,7.5
1-Jun-22,720,1,8.9
1-Jun-22,720,69,13.9
1-Jun-22,720,1111,11.7
1-Jun-22,725,1,8.9
1-Jun-22,725,69,13.9
1-Jun-22,725,1111,11.7
1-Jun-22,725,1558,9.99
1-Jun-22,729,1,8.69
1-Jun-22,729,1556,8
1-Jun-22,729,1558,7.9
1-Jun-22,766,1,8.9
1-Jun-22,766,1558,8
1-Jun-22,777,1,8.9
1-Jun-22,777,69,14
1-Jun-22,777,1558,7
1-Jun-22,1407,1,8.9
1-Jun-22,1407,1558,5.3
1-Jun-22,1517,1,8.9
1-Jun-22,1517,69,12
1-Jun-22,1517,1558,7
1-Jun-22,1634,1,8.9
1-Jun-22,1652,69,12
1-Jun-22,1652,1556,5
1-Jun-22,1652,1558,8
1-Jun-22,4767,1,8.9
1-Jun-22,4767,69,10
1-Jun-22,4767,1558,6
1-Jun-22,5816,1,8.9
1-Jun-22,5816,1558,8
1-Jun-22,7349,1,8.9
1-Jun-22,7349,69,14.9
1-Jun-22,7349,1111,9.9
1-Jun-22,7349,1558,6.9
1-Jun-22,7961,1,8.9
1-Jun-22,7961,69,12
1-Jun-22,7961,1558,8
1-Jun-22,8582,1,8.9
1-Jun-22,8582,1558,8
1-Jun-22,8757,1,8.9
1-Jun-22,8757,1558,8
1-Jun-22,9827,1558,7.99
1-Jun-22,11551,1,8.9
1-Jun-22,11551,55,10
1-Jun-22,11551,1558,8
1-Jun-22,11617,1,8.9
1-Jun-22,11617,1558,9
1-Jun-22,11677,1,8.9
1-Jun-22,11677,1558,6
1-Jun-22,11893,1558,8
1-Jun-22,12000,1,8.9
1-Jun-22,12000,69,12
1-Jun-22,12000,1558,8
1-Jun-22,13715,1,8.9
1-Jun-22,14406,1,8.9
1-Jun-22,14406,55,13.9
1-Jun-22,14406,69,8.9
1-Jun-22,14406,1558,5.9
1-Jun-22,15192,1,8.9
1-Jun-22,15192,1558,5.5
1-Jun-22,15201,1,8.9
1-Jun-22,15201,1111,11.7
1-Jun-22,15201,1558,4.9
1-Jun-22,15563,1,11
1-Jun-22,15563,1111,11.7
1-Jun-22,15563,1558,7
1-Jun-22,15936,1,8.9
1-Jun-22,15936,69,7.99
1-Jun-22,15936,1111,11.7
1-Jun-22,15936,1558,8.99
1-Jun-22,16276,1,8.9
1-Jun-22,16276,69,9.5
1-Jun-22,16276,1558,7.9
1-Jun-22,16460,1,8.89
1-Jun-22,16460,1556,3.99
1-Jun-22,16460,1558,8.49
1-Jun-22,16798,1,8.9
